student_id,gender,age,degree,branch,cgpa,backlogs,internships,certifications,coding_skills
47,Female,20,BCA,IT,8.37,1,2,2,8
48,Male,21,BTech,CS,7.62,1,1,4,9
49,Female,23,BE,Electrical,8.4,0,2,5,10
50,Female,21,BSc,CS,9.01,0,1,5,8
51,Male,24,BCA,Mechanical,8.45,0,2,4,4
52,Female,23,BE,Electrical,8.15,3,0,5,5
53,Male,22,BE,Mechanical,9.17,0,3,5,10
54,Female,21,BSc,AI,9.37,1,0,0,6
55,Male,21,BCA,DS,7.17,0,0,0,5
56,Female,24,BTech,Mechanical,6.24,3,0,3,9
57,Female,24,BE,Mechanical,9.02,0,1,0,2
58,Male,20,BSc,CS,6.42,2,2,4,6
59,Male,20,BE,DS,9.49,1,1,3,10
60,Male,20,BSc,AI,5.6,2,1,2,2
61,Male,24,BSc,Mechanical,9.46,2,3,3,8
62,Male,20,BSc,Mechanical,8.03,3,0,5,8
63,Male,20,BCA,Mechanical,8.83,2,1,1,5
64,Male,22,BTech,CS,7.21,0,2,3,10
65,Male,20,BCA,Mechanical,9.76,1,1,0,8
66,Female,21,BTech,Mechanical,6.48,2,3,2,5
67,Female,24,BSc,CS,6.64,2,3,1,4
68,Male,23,BTech,Mechanical,5.72,1,2,3,9
69,Female,22,BCA,DS,9.54,0,3,2,8
70,Female,24,BE,DS,7.46,2,0,0,4
71,Female,24,BCA,CS,8.4,1,0,2,2
72,Female,21,BCA,DS,8.46,0,3,2,2
73,Male,20,BCA,Electrical,9.26,0,1,1,2
74,Female,21,BCA,Electrical,8.36,0,3,4,10
75,Male,20,BCA,Electrical,7.92,3,2,0,8
76,Female,20,BTech,AI,8.55,0,0,1,6
77,Female,24,BTech,Mechanical,8.73,0,0,1,1
78,Female,20,BE,AI,6.3,1,1,1,10
79,Male,22,BCA,DS,5.97,3,2,4,4
80,Female,22,BCA,CS,5.82,0,0,4,3
81,Male,22,BE,Electrical,7.11,2,0,3,10
82,Female,24,BE,CS,7.64,3,2,3,7
83,Male,21,BSc,AI,8.15,1,1,0,10
84,Female,23,BE,DS,9.62,3,3,5,5
85,Male,20,BE,Mechanical,6.92,2,1,0,1
86,Male,23,BE,DS,8.77,3,0,4,6
87,Female,21,BSc,Electrical,7.78,2,0,4,4
88,Male,21,BTech,DS,6.45,0,1,4,10
89,Female,24,BSc,CS,8.15,0,1,1,6
90,Female,22,BTech,IT,9.66,3,0,4,7
91,Female,22,BE,Electrical,6.03,3,2,1,9
92,Female,21,BSc,Mechanical,7.68,1,2,1,1
93,Female,24,BSc,Electrical,5.72,1,3,0,6
94,Female,24,BTech,Electrical,6.88,2,0,2,8
95,Female,20,BSc,Mechanical,8.17,0,0,3,4
96,Female,22,BSc,Electrical,9.12,3,3,3,10
97,Female,21,BCA,CS,8.64,0,0,0,9
98,Female,23,BTech,DS,7.49,3,0,0,4
99,Female,22,BSc,CS,9.41,2,1,4,4
100,Male,20,BSc,DS,6.8,0,2,4,9
101,Male,24,BE,IT,8.74,1,2,4,4
102,Female,21,BCA,Electrical,7.54,2,2,1,9
103,Female,22,BCA,IT,9.36,0,3,1,1
104,Female,23,BE,AI,8.93,2,1,4,8
105,Female,20,BE,DS,9.38,3,0,1,2
106,Female,20,BE,CS,6.42,0,2,0,8
107,Female,22,BE,CS,8.37,0,2,4,5
108,Female,23,BCA,Electrical,8.68,0,1,3,1
109,Female,20,BSc,CS,8.69,1,0,3,1
110,Male,21,BSc,AI,7.67,2,3,5,6
111,Female,20,BE,Mechanical,5.55,1,0,1,1
112,Male,23,BTech,CS,6.62,1,3,3,2
113,Female,24,BE,Electrical,6.89,2,3,4,3
114,Female,24,BSc,IT,9.16,2,0,3,2
115,Male,22,BTech,CS,9.12,0,3,0,9
116,Female,23,BE,CS,5.95,0,2,1,10
117,Male,20,BTech,CS,9.58,2,1,3,6
118,Female,20,BE,Electrical,6.28,0,2,1,9
119,Female,24,BCA,Mechanical,7.28,3,3,0,5
120,Male,24,BSc,CS,6.43,0,3,3,4
121,Female,21,BE,Mechanical,9.2,2,1,5,2
122,Male,24,BTech,Mechanical,8.72,1,1,4,4
123,Female,21,BSc,AI,7.02,2,2,2,8
124,Male,20,BE,IT,8.43,2,1,3,2
125,Male,21,BE,CS,6.29,1,1,0,8
126,Female,21,BE,CS,7.14,3,3,5,2
127,Female,22,BE,CS,7.12,0,1,5,1
128,Male,24,BCA,Mechanical,6.52,3,3,2,4
129,Female,21,BSc,DS,9.27,1,0,5,7
130,Female,20,BCA,IT,8.42,3,0,3,2
131,Female,23,BSc,Electrical,6.7,1,0,1,3
132,Male,21,BE,CS,6.54,2,3,0,6
133,Male,24,BSc,DS,5.58,3,0,3,2
134,Male,22,BTech,DS,6.99,0,2,0,9
135,Male,20,BSc,DS,7.77,0,3,4,6
136,Male,22,BTech,IT,6.69,1,2,2,6
137,Male,23,BTech,DS,8.51,2,3,2,8
138,Male,21,BCA,Electrical,7.27,3,2,4,1
139,Male,21,BSc,CS,6.86,3,0,2,10
140,Male,24,BE,Electrical,9.54,1,2,2,3
141,Female,21,BSc,CS,6.63,3,0,5,2
142,Male,20,BCA,AI,7.21,0,3,4,1
143,Female,23,BTech,Mechanical,7.14,0,0,1,6
144,Female,22,BTech,DS,6.54,3,1,5,4
145,Female,23,BCA,Electrical,6.44,3,1,2,6
146,Male,21,BCA,Mechanical,6.8,2,0,1,8
147,Male,22,BSc,Mechanical,9.22,2,1,0,7
148,Male,24,BTech,Mechanical,8.8,3,1,0,3
149,Male,23,BCA,Mechanical,8.43,3,1,2,3
150,Female,22,BSc,Mechanical,7.47,1,1,0,6
151,Male,22,BSc,CS,7.68,2,2,4,1
152,Male,22,BE,IT,6.65,3,1,2,3
153,Male,20,BTech,DS,5.82,1,3,4,8
154,Male,23,BSc,DS,6.92,2,0,1,3
155,Male,22,BCA,CS,7.63,1,3,3,1
156,Female,23,BTech,Electrical,5.75,3,1,3,10
157,Male,22,BCA,CS,5.88,0,3,5,9
158,Female,24,BCA,Mechanical,6.63,0,1,2,2
159,Male,24,BSc,IT,7.08,0,2,4,7
160,Female,24,BSc,DS,7.19,0,2,3,8
161,Male,21,BE,Electrical,6.01,3,2,2,3
162,Male,22,BCA,AI,6.47,0,1,5,7
163,Female,21,BSc,CS,6.63,0,0,3,10
164,Female,23,BE,AI,5.79,3,2,5,4
165,Female,21,BTech,DS,6.9,2,1,3,2
166,Male,23,BE,CS,5.81,2,1,0,4
167,Female,23,BE,DS,8.52,2,3,2,8
168,Male,23,BCA,CS,7.16,1,1,5,2
169,Male,21,BTech,Electrical,6.91,2,3,5,6
170,Female,22,BCA,DS,6.04,3,2,3,10
171,Female,21,BCA,AI,6.47,2,3,5,3
172,Male,22,BE,IT,6.5,1,1,2,3
173,Male,22,BE,Electrical,9.74,1,3,0,6
174,Female,23,BSc,Electrical,9.09,0,2,2,3
175,Female,21,BE,CS,5.57,3,1,0,2
176,Female,22,BSc,AI,8.15,2,0,3,2
177,Male,24,BCA,DS,6.6,2,0,5,3
178,Male,22,BE,AI,5.95,3,1,5,2
179,Male,24,BTech,Electrical,8.53,3,2,3,6
180,Male,21,BTech,CS,6.07,3,1,3,4
181,Male,21,BCA,AI,7.41,3,0,0,1
182,Male,21,BCA,DS,8.22,3,1,1,3
183,Female,22,BE,Mechanical,7.88,3,3,0,10
184,Male,20,BSc,Electrical,9.7,3,3,0,3
185,Male,22,BE,IT,8.88,1,2,5,4
186,Male,22,BSc,IT,8.83,0,2,4,6
187,Female,23,BE,Electrical,7.03,2,2,3,1
188,Male,23,BTech,Mechanical,5.54,1,2,3,2
189,Male,22,BTech,CS,8.66,1,3,4,10
190,Female,24,BSc,AI,9.8,2,0,5,3
191,Male,23,BE,AI,7.25,1,2,1,5
192,Male,22,BCA,Mechanical,9.74,3,2,2,7
193,Male,20,BSc,Mechanical,6.11,1,0,3,1
194,Male,24,BTech,DS,6.78,2,2,3,2
195,Male,21,BSc,DS,6.23,0,0,0,4
196,Female,22,BE,IT,7.54,2,2,1,10
197,Female,22,BCA,CS,8.93,0,2,1,1
198,Female,24,BCA,CS,6.96,3,2,5,1
199,Male,23,BSc,Mechanical,9.4,1,3,1,9
200,Male,23,BE,IT,7.84,2,3,1,6
201,Male,23,BE,IT,7.5,2,3,4,2
202,Female,21,BCA,DS,8.88,0,2,0,10
203,Male,24,BTech,AI,5.94,1,3,5,7
204,Male,24,BE,CS,8.83,2,3,4,10
205,Female,23,BCA,IT,6.54,2,3,4,6
206,Male,23,BCA,DS,6.71,1,1,2,6
207,Female,20,BE,DS,8.08,3,3,0,8
208,Female,20,BE,DS,9.38,0,1,1,10
209,Female,22,BSc,AI,7.99,2,3,5,3
210,Male,22,BTech,IT,8.29,1,2,0,10
211,Male,24,BSc,Mechanical,8.84,3,2,1,2
212,Male,24,BSc,Mechanical,6.62,2,2,2,9
213,Male,21,BCA,DS,9.06,3,1,3,5
214,Male,21,BCA,DS,7.3,2,2,4,6
215,Male,20,BTech,AI,6.26,2,0,2,7
216,Male,22,BSc,DS,7.01,3,3,4,2
217,Female,20,BSc,Electrical,6.56,0,1,5,6
218,Male,20,BCA,IT,6.48,3,1,1,1
219,Female,22,BCA,DS,6.72,1,1,5,9
220,Male,21,BE,DS,6.28,2,2,1,6
221,Male,22,BSc,IT,8.37,3,0,2,7
222,Male,23,BTech,CS,7.99,3,1,3,5
223,Female,23,BSc,Electrical,8.29,2,3,3,2
224,Female,23,BCA,Electrical,6.98,2,3,4,4
225,Female,24,BE,Mechanical,8.81,3,0,1,5
226,Female,21,BSc,DS,6.06,0,3,1,10
227,Male,21,BTech,IT,7.96,2,0,3,2
228,Female,24,BCA,Mechanical,6.68,3,3,1,9
229,Male,20,BE,AI,7.77,1,0,5,2
230,Male,23,BSc,CS,6.89,0,2,1,2
231,Female,23,BTech,DS,8.9,1,3,2,2
232,Female,20,BCA,CS,9.33,2,3,3,2
233,Female,22,BTech,DS,8.69,2,3,3,5
234,Female,22,BSc,DS,6.26,0,2,5,7
235,Female,21,BCA,DS,6.68,2,2,5,1
236,Female,24,BSc,CS,9.45,1,1,0,9
237,Female,21,BE,Electrical,7.38,3,1,5,6
238,Female,22,BSc,AI,9.55,3,0,3,1
239,Male,20,BE,Electrical,7.19,1,1,3,1
240,Female,21,BSc,IT,9.59,1,3,5,9
241,Female,23,BTech,IT,9.48,2,2,0,9
242,Male,23,BTech,Electrical,8.34,2,2,1,1
243,Female,20,BCA,AI,5.54,0,2,1,1
244,Male,22,BTech,AI,7.22,3,2,4,5
245,Male,23,BTech,DS,9.42,0,0,1,5
246,Female,23,BE,DS,9.31,1,1,3,7
247,Male,24,BTech,IT,6.31,1,2,4,4
248,Male,21,BE,DS,7.22,0,0,4,10
249,Male,22,BE,DS,9.09,0,3,5,1
250,Male,21,BE,AI,7.98,3,1,5,6
251,Female,22,BSc,CS,9.14,1,0,1,10
252,Male,23,BE,Electrical,9.05,0,2,4,3
253,Female,24,BSc,Mechanical,9.4,3,2,0,7
254,Male,21,BE,Mechanical,6.0,2,2,4,1
255,Male,23,BSc,DS,6.12,2,3,2,4
256,Male,22,BCA,DS,5.86,3,1,0,10
257,Male,21,BCA,Electrical,9.52,0,2,3,9
258,Female,21,BSc,Mechanical,7.54,3,1,1,10
259,Female,23,BCA,AI,5.78,3,3,1,6
260,Male,21,BTech,Mechanical,6.88,0,0,5,2
261,Male,24,BE,Mechanical,7.01,2,1,2,6
262,Female,24,BSc,Mechanical,8.98,3,0,1,9
263,Male,23,BCA,DS,8.66,2,1,3,1
264,Male,22,BCA,DS,8.46,3,2,4,5
265,Male,23,BTech,Electrical,5.59,1,2,1,8
266,Female,24,BE,Mechanical,9.42,0,0,3,7
267,Female,20,BTech,DS,6.43,2,1,5,10
268,Female,20,BSc,Electrical,8.2,0,3,0,2
269,Male,21,BCA,Mechanical,5.77,2,1,3,8
270,Male,21,BCA,AI,5.85,2,0,5,9
271,Female,20,BCA,DS,5.54,0,1,2,10
272,Female,24,BTech,CS,7.93,3,1,3,8
273,Female,21,BTech,Electrical,8.21,3,0,1,6
274,Female,23,BE,DS,5.72,1,0,4,9
275,Male,23,BSc,AI,6.75,2,0,3,8
276,Female,24,BE,AI,9.16,0,1,2,4
277,Male,21,BE,DS,5.94,2,0,0,6
278,Female,23,BCA,IT,6.43,3,0,2,5
279,Male,21,BTech,Electrical,7.32,0,3,5,10
280,Female,21,BSc,Mechanical,9.12,0,3,0,9
281,Female,23,BE,Mechanical,6.6,2,3,3,4
282,Female,20,BSc,AI,9.79,1,0,4,1
283,Female,23,BCA,DS,7.03,3,0,2,9
284,Male,24,BE,IT,7.16,3,3,4,9
285,Female,22,BTech,Electrical,6.03,2,2,5,7
286,Male,23,BE,CS,8.42,2,2,3,5
287,Male,21,BCA,Mechanical,6.55,1,3,4,7
288,Male,21,BE,Electrical,8.2,3,3,4,9
289,Male,23,BCA,Electrical,6.46,1,2,2,3
290,Female,22,BE,IT,7.17,0,3,3,5
291,Male,23,BSc,Electrical,9.18,0,0,4,3
292,Male,22,BTech,Mechanical,8.68,1,3,0,8
293,Male,22,BCA,DS,6.16,1,1,1,1
294,Female,24,BSc,Mechanical,8.11,2,2,0,4
295,Female,21,BCA,CS,8.2,3,0,5,7
296,Female,21,BE,DS,5.89,3,2,4,9
297,Female,22,BCA,AI,7.5,3,3,3,10
298,Male,21,BCA,IT,6.62,1,2,0,2
299,Male,20,BTech,Mechanical,7.51,2,3,3,9
300,Female,22,BSc,DS,8.84,2,0,5,6
301,Male,21,BE,Electrical,6.18,2,0,0,7
302,Male,20,BTech,DS,6.03,1,2,3,4
303,Male,24,BCA,Mechanical,6.66,1,0,4,5
304,Female,21,BTech,AI,9.59,2,2,2,1
305,Female,20,BCA,Mechanical,8.72,1,2,0,4
306,Male,23,BE,AI,5.58,0,2,5,8
307,Female,23,BCA,Electrical,7.22,3,2,3,6
308,Female,20,BTech,Mechanical,6.61,3,1,0,7
309,Female,22,BTech,DS,8.24,3,1,3,1
310,Female,22,BCA,CS,7.47,0,3,3,7
311,Female,21,BSc,CS,9.65,2,0,2,6
312,Male,23,BTech,Electrical,6.44,3,1,3,4
313,Female,22,BSc,DS,8.03,1,1,0,2
314,Male,22,BSc,CS,8.51,0,0,5,2
315,Male,23,BSc,Electrical,9.05,2,2,4,7
316,Female,24,BSc,AI,7.25,0,1,5,3
317,Male,22,BTech,DS,8.45,3,1,1,2
318,Male,20,BTech,AI,6.8,2,1,3,10
319,Male,21,BSc,DS,7.37,3,1,1,3
320,Female,22,BTech,AI,9.35,2,2,4,10
321,Female,22,BSc,AI,9.58,3,0,5,2
322,Male,24,BSc,CS,8.59,2,1,1,3
323,Female,20,BSc,DS,7.11,0,1,3,5
324,Female,21,BCA,Mechanical,9.03,2,1,0,10
325,Female,22,BE,CS,5.61,2,1,5,10
326,Female,21,BTech,AI,5.94,0,0,5,10
327,Male,23,BTech,AI,8.34,2,2,2,5
328,Male,22,BSc,Mechanical,6.75,0,3,5,7
329,Female,22,BCA,Mechanical,9.59,3,0,3,10
330,Female,23,BCA,AI,7.38,3,1,3,3
331,Male,24,BTech,Mechanical,7.35,3,3,2,3
332,Male,22,BSc,IT,8.42,2,1,2,7
333,Female,21,BTech,CS,8.8,1,0,5,6
334,Male,20,BSc,DS,7.54,1,2,2,6
335,Female,21,BSc,Mechanical,6.42,3,3,2,4
336,Female,24,BE,Mechanical,8.83,0,3,2,4
337,Male,20,BSc,IT,6.88,2,2,3,2
338,Male,21,BE,DS,6.25,0,2,1,6
339,Female,21,BTech,IT,8.22,2,3,0,10
340,Female,23,BTech,DS,5.89,0,3,3,3
341,Male,24,BCA,CS,9.68,3,3,4,6
342,Female,23,BE,Mechanical,8.22,1,3,5,3
343,Male,20,BTech,CS,9.74,0,2,3,3
344,Female,23,BE,DS,6.96,3,0,5,1
345,Male,24,BTech,Mechanical,9.68,1,0,3,5
346,Male,22,BE,IT,6.13,1,2,1,2
347,Male,22,BE,AI,5.67,1,0,5,10
348,Female,20,BSc,IT,5.64,0,0,2,2
349,Female,22,BTech,AI,7.5,0,1,5,9
350,Male,23,BCA,IT,5.86,1,0,4,2
351,Female,20,BSc,DS,7.7,0,3,1,2
352,Male,24,BCA,CS,6.91,3,0,0,6
353,Male,20,BE,AI,6.94,2,2,4,10
354,Female,20,BSc,DS,8.23,1,0,4,1
355,Female,21,BE,CS,6.2,2,2,1,8
356,Male,21,BTech,CS,8.8,1,3,4,1
357,Female,20,BTech,Mechanical,8.0,2,1,3,9
358,Female,22,BCA,Mechanical,9.43,1,1,3,4
359,Male,21,BTech,Mechanical,7.07,3,0,2,3
360,Male,24,BCA,AI,9.73,1,0,1,7
361,Female,23,BE,AI,7.98,3,2,3,8
362,Male,21,BSc,CS,9.69,1,1,4,5
363,Male,20,BTech,AI,5.62,0,3,4,3
364,Female,22,BE,CS,8.63,2,2,3,4
365,Male,23,BSc,DS,9.01,3,0,1,10
366,Male,21,BE,IT,5.73,1,1,1,6
367,Female,22,BCA,CS,7.99,0,0,0,5
368,Female,22,BE,CS,8.95,1,1,1,4
369,Male,22,BCA,DS,7.91,2,2,5,3
370,Male,20,BCA,Mechanical,5.77,1,3,5,6
371,Female,24,BTech,Electrical,8.48,0,3,5,7
372,Female,22,BCA,Mechanical,5.76,1,3,3,2
373,Female,23,BCA,Mechanical,9.02,1,3,0,6
374,Female,21,BE,CS,5.69,3,3,4,3
375,Male,23,BCA,CS,6.09,3,0,3,10
376,Female,20,BCA,AI,6.68,1,0,2,8
377,Female,20,BE,AI,8.22,1,3,2,2
378,Male,23,BSc,IT,9.7,0,1,1,5
379,Female,24,BTech,IT,6.01,1,2,0,8
380,Male,20,BE,Electrical,6.11,2,1,0,9
381,Female,20,BCA,AI,7.09,3,1,4,7
382,Female,23,BE,CS,9.1,2,3,1,9
383,Female,20,BSc,DS,7.51,1,1,0,9
384,Male,24,BE,AI,6.88,0,0,3,8
385,Male,24,BE,CS,7.91,2,2,4,7
386,Female,24,BE,AI,6.62,1,2,0,6
387,Male,21,BE,Mechanical,7.22,3,2,2,3
388,Male,24,BCA,AI,6.93,1,1,2,8
389,Male,24,BE,Electrical,8.96,3,2,0,3
390,Male,21,BSc,Mechanical,9.47,0,2,5,9
391,Male,22,BE,CS,8.77,3,0,5,9
392,Male,20,BE,Mechanical,7.39,1,3,2,10
393,Female,24,BCA,AI,7.67,0,3,3,10
394,Female,20,BCA,Mechanical,6.04,3,0,4,9
395,Male,23,BE,Electrical,8.71,3,0,3,4
396,Female,20,BCA,DS,8.06,2,3,2,9
397,Female,21,BCA,Mechanical,9.38,3,1,0,2
398,Female,20,BE,Electrical,6.36,1,0,0,1
399,Female,20,BCA,Mechanical,8.77,0,2,4,8
400,Male,20,BTech,IT,8.44,1,0,2,6
401,Female,22,BTech,DS,6.64,3,1,2,10
402,Female,22,BTech,CS,8.37,1,0,2,9
403,Male,23,BCA,Electrical,9.47,2,2,1,9
404,Male,21,BTech,Mechanical,9.45,1,0,0,3
405,Female,20,BSc,DS,8.59,0,0,2,2
406,Female,20,BTech,CS,5.71,0,0,4,7
407,Female,20,BSc,DS,9.25,3,3,5,5
408,Female,20,BCA,Electrical,8.33,0,3,1,10
409,Female,22,BTech,IT,6.83,1,1,2,6
410,Female,23,BSc,Electrical,6.31,3,3,0,5
411,Male,24,BCA,Electrical,6.0,1,1,5,4
412,Female,21,BTech,CS,5.72,2,3,1,1
413,Female,20,BE,CS,8.74,1,1,3,4
414,Male,23,BTech,Mechanical,6.51,0,1,4,10
415,Male,24,BTech,AI,5.6,0,1,0,3
416,Male,23,BTech,Electrical,7.21,2,0,3,3
417,Male,22,BE,CS,7.58,3,0,0,5
418,Female,24,BSc,Electrical,6.23,0,1,4,1
419,Female,23,BSc,Electrical,5.69,0,1,2,6
420,Female,22,BE,CS,6.31,0,0,3,2
421,Female,23,BTech,IT,8.42,2,2,3,1
422,Female,23,BTech,IT,5.85,2,0,1,8
423,Female,24,BTech,Electrical,7.89,0,1,2,10
424,Male,22,BSc,IT,6.13,3,0,4,3
425,Female,20,BSc,Electrical,6.34,0,3,5,6
426,Male,21,BE,Mechanical,7.19,1,1,1,2
427,Male,24,BCA,CS,5.93,1,0,3,5
428,Female,22,BE,Electrical,6.24,3,3,0,9
429,Male,23,BSc,IT,7.0,0,0,4,7
430,Female,22,BTech,IT,6.92,3,0,1,4
431,Male,21,BTech,DS,8.72,1,2,5,3
432,Female,21,BTech,DS,5.82,0,0,2,9
433,Male,20,BTech,IT,9.2,0,0,5,4
434,Female,20,BCA,Mechanical,9.01,1,2,0,5
435,Female,21,BE,AI,8.79,3,0,1,6
436,Female,24,BE,Electrical,6.83,3,2,4,10
437,Female,24,BSc,DS,9.04,2,3,0,5
438,Female,23,BE,Electrical,6.29,2,2,1,9
439,Male,20,BCA,DS,6.03,2,3,1,1
440,Male,23,BCA,CS,5.69,3,2,5,6
441,Male,20,BCA,CS,9.54,0,3,4,4
442,Female,21,BTech,IT,6.82,0,0,2,4
443,Male,24,BSc,CS,9.45,2,3,0,3
444,Female,24,BCA,CS,6.67,3,3,5,5
445,Female,21,BE,AI,9.4,2,1,1,8
446,Male,23,BE,Mechanical,9.39,3,3,5,4
447,Male,23,BE,IT,9.47,3,0,5,7
448,Female,22,BCA,AI,7.63,2,1,5,8
449,Male,20,BCA,IT,9.22,0,1,4,5
450,Female,23,BE,Mechanical,9.59,0,2,1,10
451,Female,21,BCA,IT,6.9,3,3,4,1
452,Female,23,BE,Electrical,7.3,1,2,4,8
453,Female,24,BTech,Electrical,8.59,1,2,1,10
454,Female,20,BCA,Electrical,6.79,1,3,5,3
455,Male,22,BTech,CS,8.74,2,2,5,4
456,Male,20,BTech,Mechanical,5.82,0,0,4,10
457,Female,24,BCA,AI,7.75,1,0,0,7
458,Female,24,BE,AI,6.03,1,3,5,9
459,Male,24,BSc,DS,6.76,1,3,4,4
460,Male,24,BTech,AI,6.61,1,1,2,4
461,Female,21,BCA,Electrical,9.11,2,3,2,6
462,Male,22,BTech,Electrical,6.33,0,3,4,9
463,Female,24,BE,DS,8.98,0,0,0,4
464,Male,24,BCA,CS,8.91,0,0,5,10
465,Female,23,BSc,AI,7.65,1,3,3,8
466,Male,22,BCA,Mechanical,6.51,3,1,3,3
467,Female,20,BTech,DS,6.48,2,0,0,2
468,Male,22,BCA,AI,7.5,2,0,2,4
469,Male,22,BCA,CS,5.54,2,2,4,4
470,Female,22,BTech,Mechanical,7.78,0,3,1,7
471,Male,24,BSc,Mechanical,9.6,0,2,4,7
472,Female,24,BE,CS,6.17,2,3,4,9
473,Male,21,BCA,AI,7.97,1,1,3,10
474,Female,20,BSc,IT,9.64,3,2,4,2
475,Male,23,BE,AI,9.2,0,0,3,4
476,Female,22,BTech,DS,9.16,0,3,1,3
477,Male,20,BSc,DS,9.03,1,3,4,3
478,Female,20,BSc,AI,6.83,1,2,0,7
479,Male,21,BCA,Electrical,9.33,0,2,4,10
480,Female,23,BTech,DS,9.55,1,1,5,6
481,Female,22,BCA,IT,7.63,1,0,5,3
482,Female,23,BTech,Electrical,7.02,1,1,0,8
483,Male,21,BE,IT,7.28,3,0,3,8
484,Female,24,BCA,Mechanical,6.94,3,0,4,7
485,Male,20,BTech,DS,6.41,3,3,3,9
486,Female,22,BTech,Electrical,8.16,1,0,0,3
487,Male,24,BSc,AI,7.92,1,2,3,5
488,Female,21,BCA,Electrical,7.49,3,3,2,6
489,Male,23,BCA,Mechanical,5.91,3,1,5,9
490,Male,20,BE,IT,8.93,2,0,0,4
491,Female,22,BTech,Mechanical,6.25,0,3,3,5
492,Male,24,BSc,CS,5.99,3,2,4,9
493,Male,24,BTech,DS,8.18,2,1,3,4
494,Female,20,BTech,AI,7.21,2,3,1,2
495,Male,23,BTech,IT,5.76,3,3,0,9
496,Male,21,BCA,Mechanical,7.03,2,2,3,3
497,Male,23,BTech,AI,8.82,3,2,5,6
498,Female,23,BE,DS,8.15,0,0,2,9
499,Male,23,BSc,AI,7.06,0,1,5,3
500,Female,20,BSc,DS,6.32,0,3,1,8
501,Male,20,BTech,DS,8.22,3,2,0,9
502,Male,21,BSc,DS,9.32,2,2,1,3
503,Male,23,BTech,Mechanical,8.28,3,3,4,3
504,Female,20,BCA,DS,9.0,0,2,2,4
505,Male,21,BSc,AI,7.74,2,2,4,1
506,Male,21,BCA,CS,8.59,1,0,5,2
507,Female,23,BCA,AI,9.35,0,3,5,1
508,Male,22,BE,Mechanical,8.82,3,0,3,3
509,Female,23,BE,DS,9.41,3,1,1,6
510,Female,22,BSc,CS,7.35,3,2,4,8
511,Male,21,BTech,Mechanical,9.39,1,0,3,5
512,Female,20,BTech,IT,8.17,2,3,2,8
513,Male,24,BTech,IT,9.24,3,1,5,6
514,Female,21,BTech,IT,5.67,3,1,4,1
515,Female,20,BE,CS,8.33,3,0,1,3
516,Male,21,BTech,AI,9.15,0,0,4,2
517,Female,23,BTech,CS,6.25,0,2,2,6
518,Female,22,BCA,CS,8.35,1,0,3,8
519,Female,21,BTech,CS,9.05,2,0,4,6
520,Female,20,BTech,IT,6.74,2,0,4,4
521,Female,23,BE,Electrical,7.24,3,1,5,4
522,Male,24,BSc,AI,7.95,3,3,0,9
